Classifier,phase,C,Accuracy,Precision,Recall,F1,max_depth,n_estimators,n_neighbors
LogisticRegression,training,1000.0,0.9992143802606737,0.8851983129455341,0.6265251030082277,0.7336884628126297,,,
LogisticRegression,testing,1000.0,0.9991854130455755,0.8732055796316359,0.6198721913007628,0.7239425751448979,,,
RandomForest,training,,0.999999122214127,1.0,0.999492385786802,0.9997458703939008,,150.0,
RandomForest,testing,,0.9995611064162823,0.9542252696514926,0.7845804988662132,0.8603849631131206,,150.0,
KNearest,training,,0.9995602284994535,0.9598806172446865,0.7779452603298846,0.8593485485802341,,,5.0
KNearest,testing,,0.9994557719882433,0.9426830961541155,0.7297258297258297,0.8223093173797811,,,5.0
Support Vector Classifier,training,10.0,0.9998042534151678,0.9994318181818181,0.8871972720579686,0.9399667658436097,,,
Support Vector Classifier,testing,10.0,0.9994557719882433,0.9529123096679509,0.7215419501133786,0.8200322635938357,,,
DecisionTreeClassifier,training,,0.9996076290213471,0.9492715823026299,0.816569147905607,0.8779015308136259,5.0,,
DecisionTreeClassifier,testing,,0.9994943944125527,0.911245934692787,0.7866007008864151,0.8427057199070165,5.0,,
